100 5000
33 26 9878
64 78 3774
6 71 4617
21 33 7878
5 57 6303
22 65 4928
5 76 8359
33 78 9277
54 81 3161
71 75 1753
55 59 2230
84 75 1407
57 32 7129
26 52 1862
55 56 170
57 30 4786
36 34 2662
47 18 9191
23 72 724
83 94 8050
35 100 2208
64 84 1834
23 92 8266
3 17 6017
16 71 825
85 80 6254
71 15 1487
84 61 1405
26 35 4728
49 17 3473
98 3 2325
58 19 1160
91 93 3751
8 47 7420
25 63 42
49 99 7921
54 69 8688
40 4 700
96 82 3235
75 82 5803
100 80 158
76 89 8528
35 31 8672
37 39 7718
56 15 3880
98 63 3679
70 16 1899
9 7 7555
61 55 9836
47 81 5817
1 80 3548
58 55 5236
37 41 9067
8 78 9657
26 33 6671
5 82 7285
35 4 7752
86 64 9558
40 24 3164
27 70 6945
43 23 7076
43 80 9531
78 69 4523
96 76 3100
4 1 5385
74 58 5066
58 44 9121
9 29 9885
19 68 4408
34 94 8630
78 89 8352
54 31 83
36 60 2351
10 8 179
10 11 4931
94 37 488
11 94 9584
32 55 1412
68 25 9880
75 58 7525
56 88 3813
59 93 4995
42 80 9955
44 89 6814
22 98 2524
53 43 6460
92 6 5906
75 37 8612
87 56 488
18 30 8345
94 38 1832
59 96 4376
53 37 9155
59 33 7044
72 54 7493
96 58 9536
7 50 7293
64 76 829
75 62 9084
62 31 6465
59 77 7954
42 35 5550
18 87 2038
72 46 9770
67 17 5276
12 64 7133
47 71 8534
39 34 2710
19 61 7423
54 22 8906
70 32 4682
76 74 4916
25 91 954
14 14 2751
36 33 768
11 44 6583
95 42 305
81 32 7839
90 2 6851
64 55 5124
69 76 7356
50 51 1729
17 27 8971
71 41 8236
73 28 6568
92 90 7811
75 36 7852
79 16 3983
69 5 3384
19 21 1490
95 89 1118
50 91 220
30 59 4347
52 81 8239
87 54 1666
7 45 2607
17 19 1842
21 50 4258
55 18 8914
91 89 3234
32 83 2475
49 84 4965
69 65 8323
67 16 3504
5 54 3257
22 60 1053
28 29 772
69 1 5421
78 7 9190
92 97 8930
77 81 9764
51 81 9047
15 49 1211
90 67 1578
45 23 2032
53 96 1843
5 23 8823
28 44 823
48 73 882
90 64 9678
19 93 4110
83 43 2591
81 10 1691
44 99 5758
21 95 9380
4 47 576
99 51 1950
21 79 5345
96 78 5018
77 19 6233
6 38 2225
16 72 5468
6 4 3629
96 47 8679
5 20 473
37 75 8619
64 25 521
13 98 6951
58 93 3329
27 21 7899
59 78 6888
84 93 59
3 50 5515
31 98 8113
61 54 5784
33 90 559
3 53 6983
23 66 232
26 75 4776
54 1 1496
4 11 9126
92 46 2718
2 100 3920
16 30 8069
29 42 922
12 74 8212
22 76 6864
57 51 5181
88 76 8507
64 81 1859
11 84 1470
36 75 2267
6 77 3367
77 44 4748
45 72 5090
18 36 4863
29 9 5391
45 65 7193
77 5 868
84 20 8800
42 30 6183
63 66 2610
30 23 1786
48 99 1929
95 95 1153
84 12 5240
99 41 4748
41 37 9365
33 13 2969
100 48 6688
99 90 8369
33 4 786
42 85 3008
79 32 1658
60 79 8452
12 14 664
3 64 2856
50 4 8244
14 36 5656
34 87 6304
73 37 2045
42 70 700
27 63 8185
87 42 568
44 1 2598
96 64 3012
11 66 9375
66 67 7079
61 33 9666
16 66 8005
71 39 4541
67 32 8162
67 58 5125
3 96 9918
22 40 8118
20 87 9933
83 97 7898
57 14 9464
87 74 3996
5 89 814
9 12 6604
1 78 9735
63 96 7344
39 50 2440
56 72 3031
25 43 1217
57 25 4013
54 33 626
69 20 5651
17 76 8391
30 84 1502
33 84 9732
19 98 3779
14 36 1829
5 91 7152
35 15 2346
51 71 4070
15 76 754
40 45 6773
90 61 848
81 42 983
34 26 5367
17 44 4864
96 57 952
24 14 842
27 48 1709
72 51 7131
93 65 5007
46 57 7503
71 98 8615
70 30 9156
53 64 2081
71 80 3476
86 75 684
37 50 2497
31 28 1945
39 99 6595
21 43 6811
79 41 6867
81 11 8765
95 32 894
2 84 4757
34 6 2789
9 92 2415
93 80 1817
89 10 8144
85 100 95
79 21 1737
90 99 177
8 32 8539
72 78 7671
66 80 4906
74 13 5612
14 74 7355
29 66 1086
45 54 1296
40 91 8747
34 21 7867
23 62 2718
51 70 4449
42 41 8026
12 58 2605
69 84 2970
32 97 6243
38 77 9460
24 73 8765
71 13 2455
17 98 3476
84 20 8637
1 23 1158
1 64 3451
26 27 6408
83 95 3843
52 79 5840
46 16 3868
5 39 7041
69 61 6205
76 78 5102
51 13 8174
39 65 1948
49 65 4963
99 90 4889
6 72 9335
1 75 3913
92 72 8681
59 28 8371
51 49 632
55 24 4209
9 26 9673
82 16 7037
81 64 3453
43 62 4242
31 20 1066
17 20 6892
82 11 4316
62 21 6443
32 72 8391
15 26 8966
75 34 5291
47 67 5059
35 47 6722
87 89 6436
29 71 607
46 88 3078
37 21 9688
52 82 3360
47 65 8431
37 80 7457
55 54 8242
97 53 8961
55 87 5207
29 74 4648
16 54 2170
22 99 7109
99 87 9729
38 91 5062
97 37 5127
28 25 3258
36 79 3663
29 76 6015
89 82 3702
48 10 6527
47 25 2380
16 46 8678
77 96 5016
5 33 3006
19 82 5442
45 61 3419
54 48 3197
16 76 9124
83 17 9906
36 64 8615
62 62 4392
41 29 1489
70 5 2985
85 62 1269
43 80 3350
36 24 4010
54 29 7057
3 44 7085
26 78 6701
83 13 3816
98 26 9429
41 18 9357
29 87 7062
13 24 4975
82 66 5454
83 53 6329
45 7 857
53 9 9052
37 86 6930
89 69 894
56 18 1120
84 58 6337
93 86 1576
6 51 1851
80 84 168
33 66 8320
13 62 9726
69 15 286
72 3 9124
1 44 9792
47 51 3609
18 87 1318
6 79 1703
81 84 6805
83 15 5188
50 99 2906
70 11 319
47 79 8133
85 50 2488
8 3 83
51 1 4733
11 18 2219
28 23 8249
82 56 9884
87 38 2098
26 88 6696
83 9 6358
2 7 5588
86 43 3438
25 2 5892
7 52 7492
40 62 2061
10 41 9583
59 75 4338
42 13 8176
92 38 7615
39 73 4623
97 74 7981
84 11 1624
73 36 1025
16 94 5977
7 33 2790
67 95 2783
2 5 7657
39 98 569
66 89 3058
80 80 8030
54 28 2155
35 63 3566
58 36 7453
34 51 7546
62 10 4931
52 28 1825
34 81 9181
42 20 4178
10 37 1619
67 17 8198
49 70 2977
3 56 8839
20 13 5574
72 47 1777
70 8 4938
100 11 7117
76 96 7898
56 37 7969
33 98 5505
3 17 8121
100 65 3143
76 19 2198
67 91 6911
40 14 1009
68 83 468
5 82 4431
22 57 9326
71 64 5515
39 49 7212
43 51 180
64 3 9744
58 78 7115
55 44 9505
17 36 7070
77 3 4653
45 60 9886
27 33 4595
4 3 7958
18 41 506
82 83 3857
61 98 2559
57 55 9588
23 10 3784
79 78 7071
48 55 1225
100 51 7536
38 77 6768
32 80 3170
41 98 1062
47 31 3245
55 91 6894
65 99 2449
4 21 4810
39 99 887
61 99 8041
86 50 3091
21 87 6819
41 70 2199
10 11 7448
24 9 6130
68 63 2072
13 79 1371
61 34 3843
22 73 8994
61 33 3892
53 70 5893
96 43 2180
14 83 49
12 44 7459
11 67 1267
40 34 1681
12 99 7611
34 59 8645
76 33 4917
69 93 6201
12 45 7371
5 40 2313
36 54 7795
84 17 9690
95 80 6357
13 71 3742
46 82 8740
56 15 151
100 43 2783
68 63 227
69 75 4171
91 31 6763
55 66 8468
1 1 7836
90 47 2315
46 12 4386
88 57 6119
27 64 8886
77 64 6528
11 83 742
37 3 2716
60 93 7398
22 47 615
89 47 2416
24 89 2962
91 34 9873
76 73 1181
46 52 8145
31 28 5760
10 91 8942
52 27 245
19 38 3389
69 59 688
83 99 6286
98 23 9874
12 13 4160
36 40 6532
17 37 2083
13 68 963
72 29 5953
65 32 3631
61 51 8169
50 19 2679
89 1 9278
74 51 5800
100 14 7264
59 49 8055
42 65 4291
25 29 1210
87 100 5339
91 65 122
73 77 5572
41 78 8142
20 66 2095
49 92 6197
48 43 3410
63 1 9958
69 94 3375
59 18 1803
21 56 7355
11 46 8971
32 71 3247
56 11 9925
97 82 9690
43 30 1533
39 29 8975
48 43 2527
58 11 8721
32 22 9638
86 94 8946
40 4 9891
10 87 5161
57 42 2924
81 91 5857
22 33 3239
55 24 867
81 23 5062
8 80 1172
28 11 2545
17 97 4038
62 36 3693
5 98 5280
17 54 721
92 86 863
49 7 1448
39 13 8671
57 94 2293
18 1 8625
42 80 8335
86 96 2283
24 58 1471
16 14 4868
47 30 2073
68 74 6658
82 74 1016
29 12 329
51 68 9922
96 86 8674
20 27 8953
6 64 3100
89 39 3709
11 55 7022
30 1 904
2 20 8277
11 2 1350
26 82 3361
6 33 1528
79 28 7265
52 47 1743
56 4 7507
56 92 4945
64 54 7751
38 83 1204
41 84 2375
69 46 2128
18 72 1910
30 29 3094
9 8 1621
26 11 8819
68 19 3022
26 26 2866
71 89 9819
73 78 5102
76 18 7137
51 38 2583
78 7 8806
39 36 2486
32 97 7193
4 22 656
74 41 5474
96 67 7451
13 89 7591
83 61 9269
36 37 9738
73 39 7276
7 68 9582
64 7 6370
49 90 9166
94 46 7939
49 19 8079
74 66 9797
76 78 1685
66 61 7846
34 48 5834
72 20 1672
47 78 191
80 41 6949
1 42 5039
18 35 8784
56 35 3354
87 60 5420
35 35 549
20 100 8561
17 34 909
50 57 1080
73 55 1658
15 86 4150
64 87 4691
54 4 3177
89 60 263
42 98 7774
61 32 6808
62 3 7660
22 19 3245
30 68 3301
10 92 7807
19 7 9992
68 70 2578
11 75 1082
39 63 9793
2 4 3142
75 17 925
35 78 4828
46 51 9046
90 81 5766
42 42 6657
100 60 4615
91 79 236
21 89 4910
54 80 3772
98 81 6528
39 7 8596
15 41 525
42 38 875
88 27 6907
5 20 9700
13 19 4559
28 10 8338
15 82 2078
25 35 8957
48 32 5589
27 22 3396
74 36 1888
98 78 8726
25 17 3504
83 73 9524
83 85 7294
93 64 4103
82 79 1584
60 55 7170
68 54 4301
57 33 5174
4 6 8010
43 56 339
20 32 4855
76 66 6379
51 48 8863
44 41 5979
47 22 1609
82 33 7015
52 1 5968
4 9 4052
78 64 3510
39 58 1217
77 30 8048
83 5 3613
61 55 7613
75 98 8253
53 96 2926
13 30 7359
27 33 3211
47 88 6071
50 65 5686
59 55 3943
75 31 2272
22 13 528
87 25 8234
99 100 6332
3 4 7979
28 69 4760
38 95 3844
48 93 9532
70 43 3348
55 1 3303
98 76 6085
21 49 6550
49 87 1074
34 85 1225
17 39 2981
96 67 7949
7 56 9495
51 4 3588
82 73 630
81 80 482
83 77 1657
68 49 1258
17 49 6544
42 83 1481
67 99 4319
99 46 4337
47 53 8893
41 55 7548
28 88 20
9 68 1051
91 51 5527
99 70 1128
8 38 5676
4 79 110
84 97 4409
2 47 5606
91 93 2110
83 86 7764
30 65 8451
1 74 7519
52 16 4621
30 66 9490
57 74 1379
85 77 5009
94 12 7958
54 65 3204
60 55 5049
69 37 6634
85 18 7898
35 19 5823
53 70 4538
25 51 4756
14 8 1381
44 44 7309
53 89 4020
62 43 2184
65 54 2491
13 74 1127
98 58 8345
96 45 515
70 97 2336
60 22 5686
15 87 8045
47 83 5088
55 87 3277
74 48 7019
9 64 4624
99 29 1849
78 26 6459
74 73 6903
88 43 7051
75 2 1524
60 68 6163
5 14 2345
92 68 1431
68 93 7730
38 53 8093
13 4 3921
62 81 8199
20 6 2471
22 45 8913
24 19 4766
48 78 8433
10 82 7646
54 26 6065
36 45 1357
65 35 8410
57 47 6065
30 60 9097
28 31 2202
50 4 2246
15 28 7916
80 75 2193
13 84 5827
10 89 3904
75 24 3348
83 88 234
44 96 6481
8 77 2992
4 56 3523
5 6 1326
2 20 3453
17 51 1427
62 63 7762
40 25 8450
43 51 1273
42 33 312
76 77 3660
8 36 1588
99 40 5944
73 96 5549
51 50 2020
3 18 3770
82 79 5585
95 70 1461
45 64 1111
69 6 2243
33 33 5971
92 40 2007
79 90 5798
22 63 3193
22 65 5494
93 67 7912
63 100 5342
99 95 3612
59 91 2975
69 11 3132
63 43 7964
34 34 6655
92 65 5845
89 38 1759
81 12 5723
27 4 7541
38 18 4993
79 68 9487
42 26 8529
69 46 7039
100 9 1682
64 94 2467
18 85 983
14 73 6821
72 5 8232
46 31 3587
87 20 6657
79 99 3024
17 92 502
97 60 3847
35 12 8007
68 75 2600
87 44 2336
69 10 308
41 81 8765
24 79 495
11 65 6115
19 95 965
42 11 8656
43 7 4868
42 93 6379
48 13 7505
100 51 4900
35 71 4409
95 12 4142
59 35 9820
5 97 8984
19 67 2978
35 9 7640
43 3 1498
10 96 7942
40 96 8654
96 95 8804
95 81 9375
4 27 3538
45 85 9524
64 90 7273
99 60 3439
28 95 7399
67 89 3302
16 50 4049
57 89 4944
63 84 1290
18 30 5423
44 33 7649
81 29 6734
57 44 5875
29 42 4834
67 21 7280
66 39 1868
19 54 9817
67 63 3857
63 25 5140
52 42 1270
74 86 6654
23 18 9083
8 74 1078
82 2 5272
67 21 992
47 38 2231
66 8 6836
83 26 6398
39 88 5922
31 92 6916
52 65 8753
5 39 4970
39 98 7796
69 79 8149
40 98 5821
31 44 1858
13 9 2265
49 43 7443
98 82 9630
20 64 2821
87 15 2438
39 71 6128
60 62 626
55 30 8156
56 69 3553
76 51 448
34 16 4357
50 16 7799
92 13 4632
74 84 9995
46 70 7861
83 60 4884
63 20 145
88 26 7426
95 81 9294
48 57 5796
95 42 9163
3 43 9878
54 87 691
37 12 226
32 57 9048
44 92 5907
27 54 8478
71 93 8204
96 87 5936
41 86 1144
89 33 2037
51 35 7232
81 40 7818
23 77 6129
48 60 1337
47 3 9528
54 30 3181
31 52 9273
86 100 5960
22 92 9497
17 80 7629
54 83 7416
85 63 6655
54 37 6331
34 84 2790
70 31 245
98 36 7226
30 18 3877
3 4 328
14 77 9520
62 45 9951
91 98 785
6 34 5547
60 87 3983
43 72 6319
84 42 1601
28 91 5736
5 72 9905
82 26 5960
61 39 6188
80 1 1733
83 43 982
67 48 4816
14 59 3754
48 53 278
18 37 9371
18 16 561
5 21 9732
62 54 2510
21 14 2148
9 46 7200
41 28 8942
22 94 1141
89 59 452
95 59 3204
72 76 8540
42 46 9408
2 2 328
85 63 4233
46 84 8746
94 92 6091
45 84 2570
39 57 6264
31 46 5422
82 92 380
86 63 3808
77 4 953
84 57 254
63 93 7969
95 39 7352
93 84 7295
83 28 9530
53 18 8686
68 49 2283
89 82 4074
21 67 4336
28 96 2439
32 31 1647
37 94 5340
5 40 8730
8 32 7613
2 15 1892
83 19 510
69 86 7310
51 26 2743
77 46 3662
12 25 4957
3 56 2387
1 45 2632
92 49 3572
21 57 303
33 10 5269
25 93 4687
86 13 7524
47 15 9202
89 91 99
50 55 4024
58 9 4631
45 61 2175
76 53 976
47 73 8384
2 6 8045
70 82 9489
9 19 1401
84 65 2416
85 5 2958
84 55 7364
59 12 4424
41 8 5785
16 36 3137
43 34 5209
26 35 5966
70 5 947
59 65 3365
11 48 6881
78 33 7886
36 68 6392
51 26 7355
75 18 3163
59 85 2798
95 27 9831
3 52 918
69 74 4974
67 84 3038
32 94 8985
12 72 8369
49 59 4936
40 9 5413
95 83 4431
9 41 515
58 87 994
88 90 7897
57 10 9270
30 76 7305
67 59 7051
4 23 7274
72 71 932
60 63 8092
24 9 6827
54 17 2919
21 74 9506
14 13 8147
62 70 8456
32 51 4083
88 70 2042
38 73 5564
11 96 2534
94 7 2048
86 31 8756
64 36 2172
82 56 7797
87 21 5462
85 83 9731
40 66 4633
23 53 502
16 43 9026
79 53 8574
64 99 4080
12 84 3662
67 99 5398
91 80 2505
87 19 5978
48 3 7360
30 95 4977
63 69 9781
16 84 8823
94 62 5728
67 25 1426
98 36 361
60 55 9359
57 45 7690
13 31 8508
90 31 2663
1 60 2257
77 74 4077
10 42 7460
84 35 673
11 53 6249
88 2 6237
100 13 9391
10 69 4235
100 34 4917
59 23 6899
21 24 3559
29 52 8584
5 61 2477
16 45 4263
40 7 8867
89 47 369
77 98 8781
67 8 9502
53 7 5035
21 65 1357
20 86 8532
30 66 5184
65 23 3796
42 90 3192
4 30 5451
23 70 1997
91 46 5894
71 64 2853
24 68 7859
10 40 8476
67 11 1013
50 40 4078
85 57 8100
81 98 6890
24 53 7471
74 75 9740
22 17 2637
68 40 5552
20 63 2719
79 73 1758
54 91 9569
66 92 6060
95 77 9816
47 9 9665
88 32 9870
58 6 9296
49 27 8313
85 94 2052
36 66 6366
6 96 6290
15 49 3180
35 66 4624
95 12 3100
62 58 5108
79 45 3839
48 54 1096
95 2 2523
7 38 3068
10 73 9233
28 30 1580
17 45 5880
49 31 3145
72 25 6509
71 39 1366
30 69 3663
20 68 4516
16 62 18
90 21 9155
57 30 7480
42 57 4061
21 26 657
1 74 3188
97 97 4064
57 19 3102
23 48 2670
37 19 2637
52 34 8651
21 23 2671
28 32 3100
7 25 9009
19 97 6686
76 49 9311
63 98 1507
26 54 9077
28 28 4424
49 64 442
38 16 8228
88 88 3950
10 15 3381
61 73 8457
21 92 8054
6 67 4402
16 29 6999
74 6 2353
50 33 8180
25 34 8144
19 23 3111
46 62 3098
95 71 9965
28 31 4837
36 52 8128
89 57 6846
91 25 1474
41 98 8780
93 100 1864
25 24 9749
20 42 1423
82 87 9184
31 34 2054
95 13 5837
32 48 3188
11 89 3496
57 31 9720
82 71 6070
13 16 5269
29 40 4444
77 11 7686
100 44 5924
35 74 3109
89 69 8973
25 100 5621
64 62 161
59 18 4291
31 100 1361
52 12 76
72 92 4967
15 21 529
52 20 9872
76 6 2446
36 94 4566
9 70 4717
81 85 7378
41 44 9396
31 26 4947
43 77 2810
71 48 1202
89 62 6222
18 14 9293
89 41 9598
86 28 5544
51 36 2965
67 68 5050
45 8 1645
92 90 2470
90 33 9946
99 55 2045
52 43 506
73 60 2071
17 1 2663
67 38 5391
62 89 5578
26 7 8846
27 3 1705
71 46 8447
92 35 431
89 34 4085
33 85 727
91 10 7239
13 78 7139
76 44 5576
18 5 7116
47 83 123
44 9 4677
49 32 3823
95 75 8857
25 64 8942
9 96 5279
87 86 4088
25 99 7365
63 26 4709
91 95 4365
6 41 2947
80 85 8208
57 85 5439
31 31 9813
87 55 7628
81 15 8224
59 1 1161
46 78 8511
62 92 2936
22 82 8882
87 40 9223
85 71 1859
92 79 8495
82 9 1225
47 48 6831
74 80 3045
49 38 3297
10 83 4826
20 96 8418
8 18 2351
89 56 3742
63 40 2713
73 32 6643
67 65 3004
91 11 651
21 37 1230
17 37 19
66 46 4753
91 18 9148
8 77 617
11 65 7172
52 80 8112
64 52 7995
7 71 2259
62 61 3422
64 34 9110
93 2 7546
63 67 6244
15 58 7361
62 17 2889
79 27 9005
2 79 1284
13 94 4288
59 52 158
70 13 6470
43 76 3703
52 20 7605
49 82 7823
92 96 6480
4 10 1049
92 40 7527
97 41 3305
32 54 151
19 64 2002
28 33 8215
98 75 2142
100 26 8662
56 75 4143
79 18 9691
10 22 4452
10 65 2691
37 61 7931
93 45 4636
43 15 800
45 43 1384
11 40 3459
52 91 8836
13 99 8710
8 29 8380
50 38 2501
1 100 6665
91 36 9878
73 28 3422
61 71 4288
12 67 9930
95 77 9521
53 28 6764
89 93 5614
50 52 7542
29 1 1731
81 1 9230
98 43 7565
75 67 2745
48 27 2215
35 38 681
17 33 2709
37 37 4088
52 25 3480
65 27 4083
6 7 2883
89 88 7035
18 85 9229
35 11 7396
79 58 2522
45 44 8112
77 60 9196
85 49 9232
24 100 3409
4 17 435
38 74 5041
21 62 6080
7 32 3864
36 66 7326
31 96 7183
4 92 6779
15 68 3338
62 4 9086
94 27 7138
2 82 6754
36 20 1827
28 92 441
8 98 5472
23 33 837
49 15 1984
83 19 4775
61 85 6242
99 47 5445
36 92 2823
25 93 5505
30 80 3924
57 7 3667
97 66 9064
68 89 5697
56 37 3663
39 19 2781
13 80 218
6 30 8816
2 17 7807
24 42 599
80 71 3978
3 79 9336
21 27 6402
85 46 5390
33 1 9978
95 91 7348
76 55 4279
45 60 4108
60 61 4977
66 37 1318
16 16 2588
45 71 3319
80 91 1245
33 75 8191
74 7 1343
51 54 2686
51 81 640
29 25 4152
89 84 8664
65 1 7000
34 68 1016
73 12 7338
91 43 6928
88 76 1555
78 49 6913
72 52 6666
57 2 9946
49 82 3322
100 22 9257
63 86 1909
15 71 1876
82 44 9487
19 34 430
98 21 7457
4 50 5957
17 74 5908
34 82 7361
32 30 4595
53 29 1716
62 44 54
70 58 924
46 39 3267
32 9 6753
13 6 2625
21 62 5427
78 78 6500
85 63 4881
98 94 7563
92 99 2343
7 60 7886
60 29 3895
36 74 1385
2 58 7693
6 22 2451
31 43 3564
57 20 1593
8 56 9555
40 53 101
2 44 199
45 3 1810
82 62 490
77 49 8116
13 51 525
58 8 8146
60 38 1140
23 46 2759
15 5 1615
21 45 1419
21 98 4063
71 94 3965
32 76 1178
22 4 2979
37 16 6281
61 25 4188
58 84 5678
98 58 9823
8 72 2180
74 93 4924
93 65 4673
7 36 1067
23 67 8342
52 40 3097
30 76 364
10 88 4189
50 98 9724
27 95 4182
1 54 5505
80 28 3249
55 72 7514
28 30 1201
46 52 6119
87 55 2759
35 85 9234
98 46 8774
38 95 3171
14 73 9917
47 74 1770
51 5 3049
52 60 5172
17 39 2201
17 84 804
35 22 8511
93 56 5595
79 5 7392
4 43 1739
74 8 4311
42 54 1284
63 4 1189
64 7 5300
35 23 1938
88 91 4873
43 78 6094
53 22 1401
99 100 4805
43 55 3199
81 28 2658
91 69 1011
27 32 6467
67 95 2273
18 81 8648
55 20 438
79 63 6467
24 67 6789
24 66 3340
80 8 4895
31 40 974
88 82 5143
99 8 8226
65 26 3272
89 43 1804
36 49 6024
26 27 9438
92 50 4204
32 25 8621
72 5 80
66 87 319
39 74 1
33 24 6760
10 40 8138
81 29 3080
37 16 6229
12 41 8807
49 85 6909
4 16 1933
77 39 5037
56 4 2123
27 95 5849
79 79 872
90 89 12
27 21 1892
7 57 8807
87 68 3900
45 68 3636
53 72 4803
86 100 742
74 55 6345
49 33 5291
97 11 6370
20 53 510
83 79 4630
74 37 3239
33 23 2358
32 68 1426
19 20 7349
21 57 8748
62 31 2054
59 31 7587
49 27 8049
70 98 201
79 81 8532
61 6 9768
51 38 6491
8 21 210
85 39 1481
85 12 2238
84 73 220
38 31 7550
76 32 6428
76 53 7725
29 84 4157
60 96 1263
79 46 552
21 5 9573
30 42 4663
11 26 4274
100 10 9147
19 99 8329
20 26 7112
47 53 1865
23 33 5800
80 44 7195
94 23 1992
45 43 6196
69 25 3937
32 87 8915
5 86 3524
3 56 8874
84 75 2551
95 73 8955
11 47 8288
62 26 1783
56 71 6505
47 68 8000
95 36 124
31 67 710
45 24 8347
20 78 6902
45 61 6628
47 8 7600
2 18 246
41 32 8724
23 87 646
80 86 213
79 80 3349
54 10 1067
63 7 1290
61 26 5868
62 23 9480
41 69 2887
92 70 657
89 10 8588
64 85 3874
10 64 1211
74 42 4090
22 47 9152
41 9 8958
30 21 9735
49 34 357
29 74 9726
67 17 3147
23 5 8909
10 69 8793
36 30 5656
46 3 3849
88 77 3495
39 17 1655
48 98 6675
34 99 8160
43 79 33
20 45 8949
66 20 1505
74 29 6425
18 64 4354
25 62 8209
25 49 1337
19 39 8453
25 38 9902
51 23 1552
10 65 6530
94 84 427
42 2 7546
99 27 6474
23 45 3790
