1000 10000
473 692 3548
103 386 4886
256 328 3040
158 859 8050
663 463 7948
455 725 571
575 211 1614
223 678 9301
671 280 6647
550 557 9534
646 29 8577
194 483 3963
79 738 1642
470 247 501
519 262 315
819 716 40
389 642 3602
3 217 9632
655 239 8263
653 788 6819
187 434 2199
763 979 1681
725 409 3771
367 878 8017
219 397 7278
533 215 7993
924 955 4987
878 309 1203
509 963 2441
771 616 1580
941 154 7365
139 916 3343
819 993 751
941 711 2629
958 929 3377
235 813 943
580 737 5897
566 614 6206
120 474 7520
560 244 6487
139 536 2640
504 674 908
198 844 8900
949 785 962
929 742 1242
657 328 54
599 259 142
847 176 5107
404 295 4580
924 206 3175
762 697 7710
402 552 6735
661 749 5579
912 49 4363
873 329 7456
114 985 5783
519 935 6394
661 782 1569
767 537 5216
699 460 3421
225 574 4117
287 975 4668
21 635 4769
599 546 5169
313 770 8498
768 883 834
903 401 6769
296 413 4902
216 532 1438
431 230 250
852 806 7823
320 92 3149
340 113 783
108 63 8680
276 376 1449
125 495 6683
959 397 4435
79 44 4848
980 260 9379
769 42 8960
18 893 3117
840 213 3209
340 904 8673
122 11 8735
153 638 462
953 763 4957
635 73 705
70 151 4101
269 482 6712
999 250 3753
310 268 4998
426 459 4562
986 799 3465
658 272 6475
745 425 1464
206 729 578
514 364 1002
571 785 3152
671 405 4633
382 403 6883
486 712 6502
483 489 4960
44 475 8110
508 132 382
334 876 3158
150 434 7886
727 947 7601
729 517 6737
232 539 141
217 272 9895
451 758 8606
952 592 8447
263 636 9921
373 495 8052
106 181 4280
263 330 9065
500 408 1011
453 488 9880
189 72 9770
330 288 7394
576 738 151
534 689 2094
980 303 5081
900 27 2576
303 132 108
582 746 6437
646 598 1196
9 50 2684
240 238 6755
361 919 4394
754 495 6131
256 28 1171
350 7 4473
430 258 500
357 560 5983
816 494 7729
252 491 6326
800 851 5727
835 90 9964
589 803 8235
334 556 4081
464 812 2460
986 513 1818
810 294 2075
309 651 3986
644 818 5479
724 70 1970
49 221 820
127 55 8262
442 995 4064
676 328 1971
108 143 5782
567 128 294
384 937 6940
458 598 1942
444 593 1759
274 316 9180
595 716 5400
415 842 9454
28 283 800
443 959 1127
413 418 9269
547 985 2748
192 368 6037
131 178 5986
72 973 8578
831 246 7893
10 841 2960
410 607 6801
215 986 2083
15 780 3393
493 192 4811
114 90 8795
213 282 3514
249 764 4691
586 836 9015
163 18 5613
407 379 6453
366 140 1411
518 355 8748
601 721 2527
345 213 1070
507 678 160
653 891 2793
167 139 9556
209 725 8743
224 239 5760
836 998 6139
640 715 5278
402 233 8984
501 185 1704
27 881 7269
448 388 4946
607 40 3836
751 206 6327
307 767 8403
49 342 4993
161 529 3990
299 168 1057
928 921 289
912 421 2825
967 799 5705
235 246 92
181 205 1132
368 955 8689
694 261 3807
96 662 9148
89 822 6676
430 472 9195
486 399 8115
126 662 4887
950 629 2037
655 863 4283
98 395 839
581 763 1793
270 808 9406
428 904 6067
576 344 240
251 773 8063
798 611 8461
264 736 9475
503 38 103
539 692 317
173 789 5064
11 370 1826
804 991 5985
561 418 3240
979 345 8583
218 948 8708
632 745 4670
92 8 405
918 510 1442
20 401 3485
689 573 6626
752 584 8347
929 739 3689
913 299 6458
153 277 5803
87 846 4750
146 477 8846
815 920 6205
572 838 8067
365 209 6467
202 897 2039
827 648 5622
525 576 1712
213 489 7010
670 993 6638
824 431 835
573 577 7663
770 743 5583
975 666 6772
41 31 1332
507 232 3229
545 410 228
519 934 7804
230 498 4644
592 519 3988
581 343 4418
768 267 7346
430 37 1089
364 11 5106
487 51 8136
819 909 2719
47 805 5480
274 323 4765
429 905 4262
72 848 3133
411 780 4475
829 547 5741
526 977 2129
966 692 7139
72 179 1541
559 997 1801
630 395 3606
109 20 8928
226 449 2184
839 872 383
971 283 163
797 463 8709
890 988 37
18 954 9729
509 25 907
401 935 1255
202 564 7649
807 673 6668
86 250 6116
622 88 3340
4 59 9622
518 855 8436
579 744 4423
615 114 7728
695 622 752
953 22 687
207 223 6602
855 381 7626
875 467 4875
342 88 8963
681 443 9373
654 961 4227
441 539 8323
864 505 7436
591 200 5057
695 152 5430
733 711 4005
334 917 4385
312 791 8203
186 485 1290
148 517 3085
520 523 1045
99 963 6583
421 178 2439
856 769 5638
264 815 6142
693 899 5204
697 584 4120
434 895 2263
636 433 5747
278 580 4263
362 452 3785
406 902 2748
340 322 1925
130 529 9045
768 144 1211
261 836 5461
464 885 2045
583 318 1291
845 305 1723
943 582 8655
206 943 1458
342 700 4359
441 391 5680
366 521 5560
762 640 2703
325 900 8890
785 715 1774
181 649 8443
472 846 7100
546 788 2681
552 345 976
9 687 3027
367 127 1770
398 844 3290
957 606 2281
11 930 8532
901 66 7246
26 247 8894
821 70 5739
920 615 9879
952 167 9223
279 527 3909
306 246 9388
75 643 1231
716 952 1188
996 314 469
879 214 887
124 592 8133
369 412 6202
108 331 3168
986 634 7686
560 913 1213
821 218 4458
208 644 9452
790 711 1755
330 58 4069
150 936 1634
36 59 6225
168 779 2636
721 886 4318
889 223 3952
926 135 8864
138 955 8433
947 162 8076
751 303 138
505 632 4195
925 134 5130
559 169 6540
783 689 7318
419 409 9556
88 649 3130
39 575 7264
902 64 2218
334 363 3731
761 465 3034
898 969 4017
92 246 3502
573 804 9671
464 938 9711
782 708 7119
689 796 4120
170 834 2046
434 736 8461
3 421 7823
734 182 2287
119 79 3608
487 523 2205
989 95 7008
11 911 3297
721 692 1005
191 732 800
310 901 6633
707 686 3720
168 689 493
342 774 8674
981 244 1104
940 730 1978
144 70 6425
503 80 7335
799 152 8378
803 343 9109
954 4 5361
939 63 8047
10 230 2087
502 923 4860
527 903 2103
983 194 4184
960 337 8254
384 191 6685
70 990 9189
447 144 6531
907 98 1886
620 36 948
666 45 8529
752 547 2452
963 73 7706
65 55 7900
248 367 1588
853 750 5779
890 172 3768
78 618 2911
960 877 4008
845 496 6395
145 513 7440
673 616 338
476 578 7410
182 642 8817
433 241 6535
20 94 636
798 335 4807
565 412 3777
828 371 6653
187 567 5148
582 711 12
21 736 627
358 211 8204
119 744 4845
287 176 7437
821 196 7882
457 345 9216
263 262 627
39 89 1349
43 275 6916
542 856 978
553 228 5713
179 937 6276
734 408 371
578 694 5899
367 867 8094
248 675 1790
816 937 8051
794 328 6139
143 722 2766
410 264 7973
739 168 9201
452 347 9489
79 80 9896
801 10 1942
699 728 5808
144 975 8482
934 142 4770
984 936 8449
475 78 6171
240 839 5786
212 577 953
764 380 8651
605 810 7083
852 611 7444
793 309 7171
952 453 497
785 738 6639
907 721 2574
355 547 6003
877 786 3841
14 350 9769
967 465 3149
969 421 2958
51 273 9568
846 65 5229
16 369 8033
513 153 9770
503 59 4842
76 414 9389
430 642 2526
270 8 5875
390 974 7692
538 294 1112
848 697 2384
767 542 9801
995 558 9169
27 422 5321
148 924 5732
990 351 2497
378 780 8138
903 401 1145
130 142 2470
173 680 7116
284 527 5812
20 645 2353
172 640 262
692 18 3683
12 518 1958
743 507 7660
239 884 6791
729 138 9543
225 619 5685
695 791 8364
162 427 3242
973 446 6238
325 969 9877
939 660 1247
621 23 3764
931 766 8622
942 356 8857
733 436 6994
275 661 7965
959 707 6755
674 868 7181
267 192 7978
505 516 8946
733 806 5605
331 427 9628
446 709 6745
67 650 9452
923 734 5888
269 9 9900
233 319 7606
339 345 8825
520 963 3016
497 467 8883
443 552 6689
47 234 6467
26 680 6527
770 98 4528
222 373 7262
461 993 4270
360 225 3940
317 915 8284
141 434 9599
508 931 5065
742 725 9968
430 123 9202
248 149 9233
774 270 2330
302 843 3702
563 303 3046
184 662 5622
475 330 4537
111 470 6970
709 329 7252
125 71 7976
93 852 7451
646 100 8951
230 225 9220
559 878 4063
613 792 5717
658 327 7731
280 802 4060
168 912 9882
137 972 8210
741 96 632
716 540 7484
518 537 7935
468 766 2159
688 677 7389
102 289 8180
170 298 1507
900 929 1308
960 96 8571
841 233 2894
402 973 2989
34 40 7881
869 558 417
803 377 2535
313 416 211
701 517 3499
881 687 8148
739 938 7077
398 897 7524
968 89 3756
861 491 2080
201 524 472
81 392 6381
850 546 8757
384 858 3173
946 559 41
444 791 5079
943 881 6017
19 278 3265
895 245 354
650 457 1844
82 9 4719
905 90 110
637 291 5007
745 26 8864
269 971 1774
662 766 1916
740 60 796
108 431 6073
725 325 2669
78 974 7125
273 407 5134
991 663 4575
452 299 2217
458 44 4242
321 664 3564
447 325 3681
362 417 2740
158 524 4170
582 248 5494
251 677 6820
375 949 6578
860 291 5241
786 742 1891
2 551 5286
595 224 4950
510 670 7274
190 383 3690
930 540 6566
451 474 9165
945 724 1842
764 450 9142
341 662 9433
933 447 9174
824 801 9725
461 395 9948
410 905 7969
36 446 9351
77 375 1243
642 826 9716
159 122 7439
1000 885 4240
141 577 8901
573 510 2348
99 685 3148
175 145 1894
474 907 5798
442 294 7596
792 370 970
34 364 9147
749 522 7620
539 873 504
779 13 3433
679 938 5294
378 388 7978
525 562 9474
419 387 4732
568 828 1025
163 971 8395
485 5 9758
983 105 631
603 996 6503
458 774 6515
890 804 2804
183 182 4543
512 58 1456
338 828 9842
69 748 7669
94 262 640
488 746 9996
597 81 5452
227 683 4447
729 492 7572
595 382 7376
751 916 8909
293 780 5318
749 117 8498
590 185 4245
611 630 6506
250 469 2604
597 65 1684
48 643 7718
495 723 1209
66 670 1942
793 420 5210
53 64 8989
371 812 5457
868 754 2993
464 364 2623
321 965 9091
924 561 8508
959 960 5150
28 454 8225
237 872 7894
530 664 3313
91 69 5376
431 439 5540
887 658 3645
880 473 7360
854 793 7324
296 717 6236
803 27 3195
305 55 9001
529 643 4872
422 172 887
86 615 5955
461 45 1745
352 932 6754
996 163 5226
355 368 19
30 663 87
617 466 7113
164 122 5167
164 650 1809
387 71 5333
625 156 947
580 968 343
324 672 6274
430 19 788
655 374 155
673 755 6170
111 724 987
224 239 6108
390 754 9757
551 140 6179
235 764 8686
533 695 9005
875 371 2676
501 800 9695
288 454 7420
795 479 9526
964 589 8601
302 812 7839
409 554 2592
517 456 4083
47 42 6847
84 574 5893
88 448 263
116 948 3062
162 588 5868
933 734 2346
810 49 5286
411 350 5450
601 110 4355
193 626 3810
275 24 1851
473 107 5776
366 546 3223
980 13 9523
42 174 5462
261 458 1195
958 268 9243
243 30 6944
692 630 4053
46 174 3030
207 449 53
57 921 159
832 638 5056
407 618 1069
281 11 594
742 271 7404
936 228 1023
530 470 52
473 514 5033
877 559 2207
906 118 2007
958 526 1279
468 358 5917
523 116 8886
943 396 6896
537 137 8518
940 424 9745
962 953 8566
365 777 431
397 5 3342
955 910 7459
961 219 984
240 686 9693
508 560 6808
393 503 4555
640 391 2043
157 330 466
253 643 1770
170 359 2898
953 107 7902
294 62 9811
104 374 1381
87 965 66
132 472 3626
291 216 9480
846 855 1870
888 363 8199
706 615 2193
475 137 7551
725 89 5657
626 734 5070
789 837 1444
169 275 2408
587 406 232
212 697 7447
691 894 7302
912 133 1016
462 838 1983
654 665 5119
556 389 3559
212 14 4292
634 154 7480
429 323 7754
836 909 1160
67 472 7208
866 514 4101
519 425 233
534 886 2423
516 891 6087
634 446 475
544 9 9840
835 642 3994
666 70 4316
420 258 3576
931 676 9047
138 541 2912
590 411 4336
174 945 573
596 460 7463
34 446 8908
508 989 3268
348 176 2910
341 841 8331
8 612 1940
583 542 7616
981 31 5508
892 620 2919
579 146 863
151 93 7674
965 127 8471
872 634 460
491 333 6987
752 673 9179
83 32 4791
22 966 1332
989 946 8715
849 189 8334
119 767 5831
333 917 924
6 881 6050
477 104 8035
288 947 368
626 698 3392
804 132 1424
946 506 4389
630 494 7687
344 694 7875
29 812 5642
860 144 7910
135 502 2143
184 978 3598
218 617 5544
937 594 7242
329 749 3373
752 695 2230
492 676 8724
178 19 3769
53 399 7581
694 610 3724
603 744 6225
97 279 3554
695 849 2522
590 785 115
831 113 1864
556 216 8910
785 708 8937
860 885 4307
629 937 9705
561 982 3667
636 937 4410
861 33 689
766 79 6889
640 669 673
106 851 1786
969 406 8001
230 543 3708
166 754 2945
472 734 881
529 294 2215
195 930 2151
956 142 9183
996 259 3262
884 898 6282
557 4 9132
694 324 1538
46 906 8432
106 71 2185
50 895 2919
282 775 4564
496 969 4493
646 924 1634
181 920 5893
794 803 6142
75 711 6145
206 404 469
95 450 4374
878 555 6796
63 956 2042
333 237 9816
896 85 3784
741 730 1060
726 262 2331
618 407 4485
760 481 8196
256 39 7951
724 485 5400
449 363 3306
245 777 4613
638 109 3850
454 356 5934
589 448 3015
648 174 629
330 791 2035
815 902 9868
10 158 6906
960 233 7390
712 34 9752
369 278 2528
982 267 4988
183 720 1696
468 309 7143
482 308 9316
110 638 459
497 452 6712
364 813 4221
269 772 3454
10 835 1487
114 204 5116
641 537 6382
981 719 1454
28 186 7762
522 19 5421
838 481 4058
648 977 861
711 340 7673
932 960 8797
737 969 9631
223 82 6186
690 75 6722
423 407 7792
876 434 8977
989 307 2348
410 496 5828
819 143 4156
32 854 847
704 137 2806
500 873 126
483 447 2560
668 488 8986
742 910 744
533 138 9529
862 126 8835
209 887 4331
36 58 6473
191 89 4678
389 792 3166
194 644 9038
671 126 2836
230 145 3323
567 238 9585
310 771 6722
838 632 5199
673 840 4086
3 227 143
827 769 583
857 157 374
374 702 7369
764 372 4846
599 954 8991
274 520 5580
858 182 3350
931 19 333
129 43 6172
566 397 5750
60 576 518
642 432 4026
16 157 2727
736 920 3099
582 519 404
924 792 7275
503 1 4456
853 931 7827
185 411 6221
709 977 7618
458 36 1193
328 30 7976
353 397 1132
432 132 6052
530 713 1922
285 636 2065
559 139 6065
15 343 3347
193 527 2757
413 587 1085
382 397 8473
574 724 5502
901 428 8898
385 859 6029
788 740 8094
709 24 7729
125 935 3219
541 301 1561
239 493 9440
347 257 3026
432 639 774
256 564 6849
757 465 5277
6 201 1487
386 988 8579
479 48 602
560 172 7536
778 64 3836
691 302 3680
130 648 6937
507 431 7575
281 686 9490
129 794 7954
757 799 9506
596 185 7493
174 15 2892
775 926 1415
663 704 5478
850 746 4779
530 875 4779
818 733 209
392 365 5895
233 846 3688
187 602 8839
44 549 7375
537 722 7389
780 849 9315
195 511 6370
672 712 6467
803 593 2693
581 410 4425
141 153 8790
35 386 8987
75 924 7588
913 967 1489
287 855 210
27 635 7058
693 829 5920
414 852 6984
880 6 7576
572 938 986
997 79 1138
138 465 7523
124 539 798
63 451 7765
551 89 8619
113 116 6253
522 808 8433
442 222 637
777 453 3994
352 25 6932
689 373 2362
827 862 9826
701 337 5717
499 751 2519
263 302 7608
233 766 1075
838 287 5882
622 80 7455
610 856 2260
604 560 284
887 248 5008
248 74 8869
425 127 7205
141 977 307
660 591 608
267 823 3725
341 660 4012
574 634 6443
381 243 5299
640 846 858
275 732 457
282 331 8883
150 756 9
706 896 985
12 555 9575
972 821 749
48 513 761
59 439 4394
854 819 8636
152 458 3834
361 732 6917
169 365 248
51 866 3
59 923 1898
395 934 8453
321 257 3625
422 305 8490
182 715 8928
927 568 8746
562 71 6555
747 783 2638
664 952 8354
911 2 6219
913 413 6141
810 807 8426
614 480 35
591 901 4691
80 82 2757
359 8 4325
456 921 3747
362 668 1882
351 683 2833
704 593 8186
922 505 1598
414 666 6757
839 632 9588
873 222 4488
915 653 4921
672 363 5280
348 818 552
446 179 4571
327 529 4253
511 232 9845
697 505 7701
646 918 3367
754 108 4350
341 981 7923
180 247 2575
100 918 6289
731 265 5106
283 711 4636
205 389 1164
458 900 5747
302 596 4603
355 593 7520
73 347 5627
422 39 8959
344 219 2206
270 670 4475
558 401 92
15 35 9154
650 239 3542
165 48 2441
263 702 388
865 56 5333
736 128 7679
714 549 9717
25 244 2287
582 513 3957
56 422 2709
499 436 2743
652 437 1333
194 601 6381
986 215 4082
374 79 2137
58 166 6616
736 879 5516
804 255 6759
443 836 5623
399 892 2044
107 742 3831
201 394 9267
533 587 2219
265 924 8433
346 297 8863
834 354 7380
801 441 3258
316 597 4513
74 39 9700
696 437 6943
91 895 2685
273 95 6078
539 979 7016
109 244 7939
893 589 5588
755 775 5293
486 575 4734
96 891 2682
960 316 8720
659 364 9508
602 806 7754
286 79 9848
715 969 6178
730 78 421
668 322 9362
607 429 5136
900 914 7062
985 9 4304
666 968 3620
737 627 3335
596 580 9140
349 865 7570
548 931 1539
725 660 5968
146 679 5641
507 286 3069
994 185 1983
55 521 1991
711 186 3959
682 922 3937
16 869 2516
507 217 8732
429 764 8662
319 840 5673
286 985 1351
278 843 3988
347 188 2524
329 595 8044
671 305 9581
981 986 5854
917 353 2722
784 211 7938
515 639 4053
528 957 893
200 594 5229
903 872 6424
890 218 9611
766 898 4557
161 920 2861
742 901 7198
595 169 902
317 953 3113
606 819 4103
11 347 9060
255 546 3005
483 448 5228
258 690 8797
221 455 2046
777 615 6966
990 708 3866
539 303 3034
441 971 3338
553 576 7157
7 586 9503
418 192 6048
423 27 848
2 284 1537
799 856 6991
844 633 7957
809 974 7665
26 512 8319
412 952 6289
749 856 2216
257 863 154
759 280 7345
159 54 5371
6 56 655
542 206 5510
884 49 4494
840 210 467
856 235 3331
174 998 1282
462 747 6490
678 3 352
183 114 983
527 272 5037
898 629 444
904 170 9649
765 405 1049
611 244 5258
77 452 8845
759 625 1194
41 439 2940
530 468 295
233 650 2760
215 176 6383
603 425 2011
398 328 1180
398 445 3584
447 55 7179
56 483 5982
252 242 5607
446 634 1397
737 163 2864
383 747 2865
142 313 2392
876 268 6817
886 665 9496
417 63 2292
1000 861 3346
531 916 5829
512 520 3070
470 965 9055
218 53 1217
81 436 5315
297 929 9627
689 805 1894
857 690 8911
704 107 3973
996 458 833
341 340 1100
521 204 9971
942 673 5935
996 891 988
564 323 1775
878 972 1055
857 660 8859
750 868 9901
660 571 5359
984 918 8816
168 611 6508
620 131 1711
590 425 2735
877 772 4625
216 336 9300
990 565 3271
44 421 5282
255 523 2149
155 534 6071
513 870 2989
680 37 2599
187 8 7081
249 598 9505
984 474 5277
960 689 1964
259 30 8528
881 425 7301
162 679 3823
662 185 9708
733 49 2577
721 81 9614
671 619 973
103 868 7570
960 851 4395
588 810 2435
551 421 3464
430 301 1241
730 463 1919
904 476 4456
964 208 7856
540 280 936
505 950 6555
478 405 6422
47 364 9624
794 951 785
228 501 9205
44 282 4506
284 364 8320
554 619 2795
361 582 355
217 122 7634
152 626 9936
706 103 4340
479 502 6703
454 647 8653
239 874 8505
443 269 1138
300 552 7501
971 458 4120
766 818 701
472 34 6174
105 538 3800
40 243 7254
379 74 4107
433 527 8753
85 117 9979
941 560 1247
79 211 151
931 182 8608
50 299 3777
103 770 7163
276 874 9700
427 266 4294
681 644 7367
139 77 1246
244 513 362
222 806 273
468 236 5484
970 166 7017
929 568 1315
706 670 5084
868 297 2309
567 724 6574
860 756 8570
579 894 4998
176 137 862
889 710 4667
514 530 3902
997 499 2420
365 428 7987
679 485 4008
114 704 304
774 270 3379
348 481 4134
269 411 9380
266 586 7868
479 827 9578
146 340 8459
399 688 1957
170 52 7736
156 730 3220
515 195 8275
819 968 3544
549 667 2377
35 935 5787
414 552 7725
633 31 8551
562 528 1242
20 278 4929
977 448 2980
64 955 6709
636 470 255
910 640 3222
806 188 4889
182 222 175
320 987 7727
396 972 1109
298 533 4988
539 553 3265
467 881 1064
446 944 19
506 579 488
760 841 5479
334 646 5666
574 179 4240
748 498 578
826 246 2549
934 543 2434
921 434 5986
538 900 4218
601 698 2161
619 555 2092
458 667 5932
936 1000 9929
954 925 107
545 24 4956
474 850 2201
375 135 3096
808 408 8881
145 297 8132
362 897 3829
522 868 5384
965 677 9402
248 965 2753
176 270 6677
282 814 7700
238 639 9901
790 13 8036
237 820 9795
117 964 2091
249 325 2339
77 199 4206
812 163 883
565 411 4199
317 586 3468
345 220 9281
397 809 1271
297 598 9284
684 835 2103
478 951 8419
920 551 6095
259 980 7293
464 143 6808
698 708 570
896 376 8507
715 721 726
347 117 8534
618 765 484
901 449 3318
355 278 8620
773 198 4523
868 456 8502
512 271 8644
319 969 703
240 216 1079
747 931 2799
472 629 6267
358 246 5031
841 146 3479
158 501 4109
129 625 6306
651 844 8761
504 356 8383
148 26 9703
202 266 6919
280 364 6201
430 835 6829
696 192 6427
79 384 1572
909 893 3424
17 22 401
674 24 2244
434 528 8951
169 27 7329
871 228 7946
789 860 9309
341 289 8495
522 337 7687
948 767 6422
871 675 5315
647 44 9336
47 717 5711
290 503 6590
593 671 616
921 541 1196
866 682 3055
526 374 1695
20 247 7031
58 546 6797
480 417 824
794 63 6867
481 461 3935
191 102 789
781 694 9459
748 966 2352
295 831 33
349 708 7758
44 728 6005
426 785 7550
223 616 318
398 409 7732
616 241 192
550 432 6294
339 564 1339
149 663 6305
500 958 5487
884 658 8195
994 701 2922
998 127 58
547 701 6026
865 450 3434
596 65 675
140 966 3458
433 656 8373
771 805 2387
427 656 344
914 892 4354
108 885 7054
381 882 4532
790 780 3584
815 996 5033
601 944 2097
627 83 5063
436 867 1070
808 989 3226
546 416 3882
242 329 2125
595 788 9361
648 168 1594
532 957 6373
115 124 6721
148 724 7664
244 350 2098
658 137 9964
80 944 8952
305 489 1719
538 82 1047
662 676 7834
22 676 1353
967 207 1662
692 321 4785
412 468 6860
427 64 8561
524 73 9697
487 152 4992
790 457 6832
861 346 1914
907 360 4589
93 733 8264
797 700 3822
458 391 2143
594 802 962
805 228 2377
717 751 1450
413 589 1953
756 730 761
588 590 8107
853 849 2466
793 293 3198
409 441 1897
230 251 1287
724 196 4440
686 1 9019
414 69 7121
863 482 8709
168 589 1791
928 176 1732
386 380 5932
203 173 8576
401 581 1017
649 162 7619
288 886 6814
79 923 8166
98 336 235
218 551 9068
279 718 9656
69 997 5184
152 735 7563
436 937 4087
11 689 3019
379 338 8181
997 977 8066
163 55 6340
328 152 2675
562 722 7577
629 1000 6646
285 420 643
820 571 377
382 6 4665
469 369 354
839 99 2043
19 96 1019
436 258 4425
775 585 4929
802 499 9650
378 127 3649
24 763 1420
18 582 1990
746 316 348
410 136 5068
115 974 7166
157 993 613
527 780 5870
952 555 3807
880 708 4657
881 85 4783
881 460 2898
300 829 7831
289 574 7146
988 336 1281
55 450 9607
573 607 7599
185 133 8730
407 436 284
213 667 3991
221 547 7428
355 779 7239
252 78 4068
83 719 4641
580 706 9976
213 113 6778
819 685 4384
769 221 2868
498 627 6656
134 191 4322
476 411 8221
255 766 1999
494 17 7077
561 451 1795
553 383 2852
881 595 5316
658 765 6352
393 885 6573
612 382 8199
267 867 1390
941 343 800
513 597 7565
511 442 934
939 354 8736
85 907 8118
289 139 3064
604 148 6828
956 892 9712
528 503 446
726 122 5664
115 414 9358
267 926 8955
831 788 748
764 727 6102
500 811 2360
969 451 9498
33 55 6997
212 10 2888
276 537 2742
721 614 3215
736 81 8628
94 347 3553
400 177 6341
147 293 419
248 144 7581
607 112 7032
456 496 4086
452 708 1447
339 983 9335
81 55 2300
295 790 5380
275 235 5726
827 634 7255
519 781 4547
289 28 9042
222 987 2505
253 442 8001
690 894 8708
488 232 7042
822 664 7096
121 311 7237
501 585 472
578 763 2105
832 634 9237
730 922 5265
123 143 5251
628 747 8692
628 788 8937
687 275 6169
728 96 2184
175 569 7494
411 421 3430
234 998 7193
339 182 7826
575 263 2099
191 386 7594
793 13 7692
837 640 6480
773 678 1754
293 405 9202
829 931 4770
322 341 190
752 575 7539
296 265 4072
473 191 4335
571 382 3720
516 526 4732
208 362 1723
687 487 3400
792 779 3156
993 959 8086
114 281 1778
655 384 8352
194 31 8968
265 503 6511
599 73 6244
670 589 9769
401 148 8483
475 834 4969
226 625 8099
381 970 58
466 83 4690
596 738 5425
299 283 9455
267 547 957
777 498 8381
20 519 2969
140 272 1468
622 746 7653
590 972 3278
41 352 6599
98 170 9681
139 765 5418
563 415 7700
17 681 599
973 809 8448
353 180 4966
674 320 1237
141 941 5335
794 883 4306
423 923 4009
21 372 2530
701 510 1646
471 72 6061
522 88 1093
472 60 6902
919 764 6081
237 437 4752
825 930 8693
159 723 5575
816 497 9849
825 517 5220
354 569 2729
352 391 7800
412 913 9887
504 736 6298
757 655 9061
838 243 7498
589 419 9427
633 578 2501
559 745 9997
407 569 4865
626 275 6785
706 626 1176
505 389 8440
743 892 9175
392 649 8181
453 838 6775
302 778 6194
80 411 8123
932 321 6867
928 728 6436
144 705 2062
928 411 9039
103 915 3427
894 10 2670
69 401 7318
601 853 2507
376 506 6637
